,TEAM,NAME
420,Cleveland Cavaliers,JR SMITH
421,Cleveland Cavaliers,KEVIN LOVE
422,Cleveland Cavaliers,LEBRON JAMES
423,Cleveland Cavaliers,JEFF GREEN
424,Cleveland Cavaliers,DWYANE WADE
425,Cleveland Cavaliers,KYLE KORVER
426,Cleveland Cavaliers,CHANNING FRYE
427,Cleveland Cavaliers,CEDI OSMAN
428,Philadelphia 76ers,TIMOTH? LUWAWU-CABARROT
429,Boston Celtics,AL HORFORD
430,Boston Celtics,JAYLEN BROWN
431,Boston Celtics,JAYSON TATUM
432,Boston Celtics,KYRIE IRVING
433,Boston Celtics,MARCUS MORRIS
434,Boston Celtics,MARCUS SMART
435,Boston Celtics,TERRY ROZIER III
436,Boston Celtics,DANIEL THEIS
437,Utah Jazz,THABO SEFOLOSHA
438,Utah Jazz,RODNEY HOOD
439,Portland Trail Blazers,NOAH VONLEH
440,Denver Nuggets,GARY HARRIS
441,Denver Nuggets,JAMAL MURRAY
442,Denver Nuggets,NIKOLA JOKIC
443,Denver Nuggets,PAUL MILLSAP
444,Denver Nuggets,WILSON CHANDLER
445,Denver Nuggets,WILL BARTON
446,Denver Nuggets,MASON PLUMLEE
447,Denver Nuggets,EMMANUEL MUDIAY
448,Denver Nuggets,MALIK BEASLEY
449,Denver Nuggets,KENNETH FARIED
450,Denver Nuggets,TREY LYLES
451,Phoenix Suns,DEVIN BOOKER
452,Phoenix Suns,MIKE JAMES
453,Phoenix Suns,TYSON CHANDLER
454,Denver Nuggets,DARRELL ARTHUR
455,Denver Nuggets,RICHARD JEFFERSON
456,Los Angeles Lakers,KYLE KUZMA
457,Los Angeles Lakers,TYLER ENNIS
458,San Antonio Spurs,DERRICK WHITE
459,Brooklyn Nets,JAMES WEBB III
460,Utah Jazz,JOE JOHNSON
461,New York Knicks,TREY BURKE
462,Minnesota Timberwolves,JIMMY BUTLER
463,Minnesota Timberwolves,MARCUS GEORGES-HUNT
464,Milwaukee Bucks,MATTHEW DELLAVEDOVA
465,Milwaukee Bucks,THON MAKER
466,Milwaukee Bucks,SEAN KILPATRICK
467,Milwaukee Bucks,D.J. WILSON
468,Oklahoma City Thunder,TERRANCE FERGUSON
469,Detroit Pistons,ANDRE DRUMMOND
470,Detroit Pistons,AVERY BRADLEY
471,Detroit Pistons,ISH SMITH
472,Detroit Pistons,REGGIE BULLOCK
473,Detroit Pistons,TOBIAS HARRIS
474,Detroit Pistons,STANLEY JOHNSON
475,Detroit Pistons,LANGSTON GALLOWAY
476,Detroit Pistons,ERIC MORELAND
477,Detroit Pistons,LUKE KENNARD
478,Detroit Pistons,ANTHONY TOLLIVER
479,Houston Rockets,NENE HILARIO
480,Chicago Bulls,KRIS DUNN
481,Chicago Bulls,LAURI MARKKANEN
482,Chicago Bulls,ROBIN LOPEZ
483,Chicago Bulls,ZACH LAVINE
484,Chicago Bulls,DENZEL VALENTINE
485,Chicago Bulls,NIKOLA MIROTIC
486,Cleveland Cavaliers,ISAIAH THOMAS
487,Cleveland Cavaliers,TRISTAN THOMPSON
488,Cleveland Cavaliers,ANTE ZIZIC
489,Toronto Raptors,CJ MILES
490,Toronto Raptors,LORENZO BROWN
491,Washington Wizards,BRADLEY BEAL
492,Washington Wizards,JOHN WALL
493,Washington Wizards,MARCIN GORTAT
494,Washington Wizards,MARKIEFF MORRIS
495,Washington Wizards,OTTO PORTER JR.
496,Washington Wizards,TOMAS SATORANSKY
497,Washington Wizards,IAN MAHINMI
498,Washington Wizards,JODIE MEEKS
499,Washington Wizards,MIKE SCOTT
500,Washington Wizards,KELLY OUBRE JR.
501,Milwaukee Bucks,MALCOLM BROGDON
502,Atlanta Hawks,ERSAN ILYASOVA
503,Los Angeles Clippers,C.J. WILLIAMS
504,Los Angeles Clippers,TYRONE WALLACE
505,Houston Rockets,GERALD GREEN
506,Miami Heat,BAM ADEBAYO
507,Miami Heat,JORDAN MICKEY
508,Miami Heat,DERRICK WALTON JR.
509,Miami Heat,MATT WILLIAMS JR.
510,Miami Heat,UDONIS HASLEM
511,New Orleans Pelicans,RAJON RONDO
512,New Orleans Pelicans,JAMEER NELSON
513,New Orleans Pelicans,CHEICK DIALLO
514,New Orleans Pelicans,OMER ASIK
515,San Antonio Spurs,KAWHI LEONARD
516,San Antonio Spurs,JOFFREY LAUVERGNE
517,Toronto Raptors,ALFONZO MCKINNIE
518,Detroit Pistons,REGGIE JACKSON
519,Detroit Pistons,BOBAN MARJANOVIC
520,Charlotte Hornets,MICHAEL CARTER-WILLIAMS
521,Charlotte Hornets,JOHNNY O'BRYANT III
522,Atlanta Hawks,TYLER CAVANAUGH
523,Atlanta Hawks,DEANDRE BEMBRY
524,Atlanta Hawks,LUKE BABBITT
525,Atlanta Hawks,MARCO BELINELLI
526,Miami Heat,DION WAITERS
527,Orlando Magic,ELFRID PAYTON
528,Orlando Magic,WESLEY IWUNDU
529,Washington Wizards,TIM FRAZIER
530,Cleveland Cavaliers,GEORGE HILL
531,Cleveland Cavaliers,RODNEY HOOD
532,Cleveland Cavaliers,LARRY NANCE JR
533,Cleveland Cavaliers,JORDAN CLARKSON
534,New York Knicks,EMMANUEL MUDIAY
535,New York Knicks,TROY WILLIAMS
536,New York Knicks,ISAIAH HICKS
537,Charlotte Hornets,MANGOK MATHIANG
538,Detroit Pistons,BLAKE GRIFFIN
539,Brooklyn Nets,RASHAD VAUGHN
540,Denver Nuggets,TORREY CRAIG
541,Sacramento Kings,ZACH RANDOLPH
542,Sacramento Kings,GEORGE HILL
543,Sacramento Kings,GEORGIOS PAPAGIANNIS
544,New Orleans Pelicans,NIKOLA MIROTIC
545,New Orleans Pelicans,SOLOMON HILL
546,Phoenix Suns,ALAN WILLIAMS
547,Detroit Pistons,HENRY ELLENSON
548,Milwaukee Bucks,BRANDON JENNINGS
549,Utah Jazz,DAVID STOCKTON
550,Cleveland Cavaliers,JOHN HOLLAND
551,Atlanta Hawks,DAMION LEE
552,Atlanta Hawks,ANDREW WHITE
553,Memphis Grizzlies,BRIANTE WEBER
554,Memphis Grizzlies,WAYNE SELDEN
555,Memphis Grizzlies,IVAN RABB
556,Dallas Mavericks,DOUG MCDERMOTT
557,Dallas Mavericks,KYLE COLLINSWORTH
558,Dallas Mavericks,JOHNATHAN MOTLEY
559,Dallas Mavericks,JALEN JONES
560,Los Angeles Lakers,ISAIAH THOMAS
561,Los Angeles Lakers,ALEX CARUSO
562,Los Angeles Lakers,DERRICK WILLIAMS
563,Los Angeles Lakers,TRAVIS WEAR
564,Los Angeles Lakers,IVICA ZUBAC
565,Toronto Raptors,MALCOLM MILLER
566,Detroit Pistons,JON LEUER
567,Cleveland Cavaliers,IMAN SHUMPERT
568,Atlanta Hawks,JOSH MAGETTE
569,Orlando Magic,MARREESE SPEIGHTS
570,Brooklyn Nets,JEREMY LIN
571,Chicago Bulls,ANTONIO BLAKENEY
572,Chicago Bulls,PAUL ZIPSER
573,Chicago Bulls,KAY FELDER
574,Chicago Bulls,QUINCY PONDEXTER
575,Portland Trail Blazers,JAKE LAYMAN
576,Utah Jazz,NATE WOLTERS
577,Utah Jazz,TONY BRADLEY
578,Philadelphia 76ers,JAMES MICHAEL MCADOO
579,Minnesota Timberwolves,SHABAZZ MUHAMMAD
580,Minnesota Timberwolves,AARON BROOKS
581,Miami Heat,OKARO WHITE
582,Philadelphia 76ers,TREVOR BOOKER
583,New York Knicks,JOAKIM NOAH
584,New York Knicks,RON BAKER
585,Miami Heat,DERRICK JONES JR.
586,Detroit Pistons,DWIGHT BUYCKS
587,Memphis Grizzlies,KOBI SIMMONS
588,Washington Wizards,JASON SMITH
589,Washington Wizards,CHRIS MCCULLOUGH
590,Memphis Grizzlies,VINCENT HUNTER
591,Indiana Pacers,ALEX POYTHRESS
592,Dallas Mavericks,ANTONIUS CLEVELAND
593,Portland Trail Blazers,MEYERS LEONARD
594,Oklahoma City Thunder,KYLE SINGLER
595,Oklahoma City Thunder,NICK COLLISON
596,Chicago Bulls,NOAH VONLEH
597,Indiana Pacers,AL JEFFERSON
598,Phoenix Suns,JOSH GRAY
599,Los Angeles Clippers,AVERY BRADLEY
600,San Antonio Spurs,DARRUN HILLIARD
601,New Orleans Pelicans,DEANDRE LIGGINS
602,Milwaukee Bucks,RASHAD VAUGHN
